OBRA SOCIAL;COD.;
AGENTES DE  PROPAGANDA MEDICA (APM);79;
OSPIL (IND. LECHERA) -  C. Uruguay ;110;
ACEITEROS (OSIAD);299;
POLICIA FEDERAL ;976;
OSECAC  ;990;
OSPE CONCORDIA COSTA DEL URUGUAY -  Gravados;1002;
Mutual de Servicios  de Salud  del Dpto Colon;1003;
OSPE COLON PLAN D-471;1003;
OSPE GUALEGUAY ;1004;
OSPE  VICTORIA;1004;
OSPE  NOGOYA;1005;
OSPE  ROSARIO DEL TALA;1007;
OSPE GUALEGUAYCHU ;1008;
OSPE CONCORDIA COSTA DEL URUGUAY -  Exentos;1012;
OSPE  URUGUAY;1016;
AVALIAN SALUD INTERNACION;1317;
OSPPYFER PANADEROS;1331;
OSPIM MADEREROS;1434;
OSER-  ORDENES  WEB  SERVICE ;1850;
DOCTHOS PLAN BASICO;2583;
OSMATA CARGA VIRALES;2866;
OSAM;3137;
OSAM;3144;
LUIS PASTEUR AFIL. VOLUNTARIOS;3333;
AMUR AFIL VOLUNTAROS;3371;
AMUR AFIL  OBLIGATORIOS;3388;
UNIMEDICA GUALEGUAYCHU;3405;
AVALIAN  AFIL. OBLIG ;3522;
AVALIAN  AFIL. VOLUNTARIOS;3539;
FEDERADA 25 DE JUNIO OBLIGAT GRUPO 1;3546;
FEDERADA 25 DE JUNIO VOLUNT GRUPO 1;3553;
ASOCIACIÓN ECLESIÁSTICA SAN PEDRO;3577;
LUIS PASTEUR AFIL. OBLIGATORIOS;3663;
DASUTEN ;4097;
OSDE RIO URUGUAY  (AFIL. VOLUNTARIOS);4121;
CAJA NOTARIAL  Colegio de Escribanos de Acción Social de E.R ;4152;
OSDE RIO URUGUAY (AFIL. OBLIGATORIOS);4176;
UNER AFILIADOS OBLIGATORIOS;4293;
UNER AFILIADOS VOLUNTARIOS;4303;
JERARQUICOS SALUD OBLIGATORIOS;4334;
JERARQUICOS SALUD  VOLUNTARIOS;4341;
SWISS MEDICAL GROUP OBLIGATORIOS;4482;
SWISS MEDICAL GROUP VOLUNTARIOS.;4499;
GERDANNA SALUD RED RAMA. (Red de Asistencia médica ambulatoria);4516;
OSPIA;4633;
DOCTHOS PLAN PLUS;4956;
SAS  80%;4994;
OMINT;5012;
T.V. SALUD - TELEVISION ;5359;
GERDANNA – ORDENES REFACTURADAS;5366;
CAMIONEROS – O.S. DE CONDUCTORES  CAMIONEROS Y PERSONAL DEL TRANSP. DE CARGAS DE E.R.;5490;
OSER - EMBARAZO ;5579;
MEDIFE OBLIGATORIOS;5593;
SAS PLAN MATERNO INFANTIL;5658;
MEDIFE VOLUNTARIOS;5713;
OSDOP (docentes particulares) ;5751;
PAMI COSTA DEL URUGUAY;5809;
AMES VILLAGUAY;5885;
Sancor OSUTI  - Plan S 3000 Ambulatorio  No Gravados ;6006;
Sancor OSUTI  - Plan S 3000 Internación   No Gravados ;6013;
OSPAVIAL ;6075;
AMES URUGUAY ;6109;
PROGRAMA DE PREVENCIÓN;6161;
GALENO ARGENTINA SA IVA GRAVADO;6240;
GALENO ARGENTINA SA IVA EXENTO;6257;
VISITAR OBLIGATORIOS;6288;
VISITAR-  O.S PATRONES  PLAN BASICO ;6288;
VISITAR-  O.S  OMINT   CS;6288;
 VISITAR VOLUNTARIOS;6295;
OPDEA;6343;
AMUR OSSIMRA ;6374;
PODER JUDICIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;6381;
ASOCIACION MUTUAL PROTECCIÓN  SOLIDARIA PERMANENTE – PSP –;6408;
AMUPRO ;6422;
